2022-12-02 21:33:59,322 - ('suma minutpro bat1', -1.0572821378707886)
2022-12-02 21:34:31,757 - ('suma minut vybiti pro bat1', -0.5236819187800089)
2022-12-02 21:35:16,207 - ('suma minutpro bat2', -0.7237786014874776)
2022-12-02 21:35:50,644 - ('suma minut vybiti pro bat2', -0.5570528586705525)
2022-12-02 21:37:04,108 - ('suma minutpro bat1', -1.2241617838541667)
2022-12-02 21:37:36,513 - ('suma minut vybiti pro bat1', -0.5231460809707642)
2022-12-02 21:38:20,963 - ('suma minutpro bat2', -0.7236684918403625)
2022-12-02 21:38:55,488 - ('suma minut vybiti pro bat2', -0.558510688940684)
2022-12-02 21:40:08,959 - ('suma minutpro bat1', -1.2243301709493002)
2022-12-02 21:40:41,333 - ('suma minut vybiti pro bat1', -0.5226909756660462)
2022-12-02 21:41:25,800 - ('suma minutpro bat2', -0.7240663091341655)
2022-12-02 21:42:00,284 - ('suma minut vybiti pro bat2', -0.5578446427981059)
2022-12-02 21:43:13,647 - ('suma minutpro bat1', -1.2225213368733725)
2022-12-02 21:43:30,340 - ('suma minut vybiti pro bat1', -0.26129275957743325)
2022-12-02 21:44:14,824 - ('suma minutpro bat2', -0.7242913285891215)
2022-12-02 21:44:49,224 - ('suma minut vybiti pro bat2', -0.5564322392145793)
2022-12-02 21:45:04,973 - ('suma minut vybiti pro bat1', -0.2622705062230428)
2022-12-02 21:45:49,406 - ('suma minutpro bat2', -0.7233039498329162)
2022-12-02 21:46:23,594 - ('suma minut vybiti pro bat2', -0.5528997778892517)
2022-12-02 21:46:56,095 - ('suma minutpro bat1', -0.541344428062439)
2022-12-02 21:47:28,504 - ('suma minut vybiti pro bat1', -0.5233708381652832)
2022-12-02 21:47:51,891 - ('suma minutpro bat2', -0.3727689623832703)
2022-12-02 21:48:00,251 - ('suma minut vybiti pro bat2', -0.12255864540735881)
2022-12-02 21:48:42,698 - ('suma minutpro bat1', -0.7071953256924947)
2022-12-02 21:49:15,150 - ('suma minut vybiti pro bat1', -0.5240705251693726)
2022-12-02 22:19:47,835 - ('bat2 nabiti', -0.7240901668866475)
2022-12-02 22:20:18,477 - ('bat2 vybiti', -0.49377708037694296)
2022-12-02 22:23:27,083 - ('suma minutpro bat1', -3.1432170311609906)
2022-12-02 22:35:15,005 - ('suma minut vybiti pro bat1', -11.781778279940287)
2022-12-02 22:35:59,501 - ('bat2 nabiti', -0.7244885683059692)
2022-12-02 22:36:33,944 - ('bat2 vybiti', -0.5570148189862569)
2022-12-02 22:49:12,133 - ('suma minutpro bat1', -12.636267538865408)
2022-12-02 23:01:16,459 - ('suma minut vybiti pro bat1', -12.055233701070149)
2022-12-02 23:02:00,882 - ('bat2 nabiti', -0.7233478347460429)
2022-12-02 23:02:35,428 - ('bat2 vybiti', -0.5588924686113993)
2022-12-02 23:16:04,958 - ('suma minutpro bat1', -13.491986874739329)
2022-12-02 23:28:07,988 - ('suma minut vybiti pro bat1', -12.033553063869476)
2022-12-02 23:28:52,444 - ('bat2 nabiti', -0.7238579511642456)
2022-12-02 23:29:23,129 - ('bat2 vybiti', -0.49454469283421837)
2022-12-02 23:42:52,975 - ('suma minutpro bat1', -13.497251518567403)
2022-12-02 23:54:55,954 - ('suma minut vybiti pro bat1', -12.03276481628418)
2022-12-02 23:55:40,354 - ('bat2 nabiti', -0.7227507352828979)
2022-12-02 23:56:14,770 - ('bat2 vybiti', -0.5567141056060791)
